july2025,4hrs,lop,completed
16-08-2025,ENW,pending
01-09-2025,06:30,15:00,08:00,16:30,shift change,pending
01-09-2025,16:30,22:00,6hrs,ot,completed
05-09-2025,c_off,pending
15-09-2025,14:00 to 14:30,pending
