sc oppe,dd-mm-yyyy,pending
home server,dd-mm-yyyy,pending
app deploy,dd-mm-yyyy,pending
activity place,dd-mm-yyyy,pending
mat2,dd-mm-yyyy,pending
stats2,dd-mm-yyyy,pending
week1 dbms ga,05-09-2025,pending
week2 ml ga,05-09-2025,pending
